source,title,text,url,date,sentiment,polarity,subjectivity
MarketWatch,"Big Tech ETF drops sharply, deepening its losses this week","Big Tech ETF drops sharply, deepening its losses this week",https://www.marketwatch.com/livecoverage/stock-market-today-dow-s-p-500-and-nasdaq-set-for-opening-gains-after-398-point-blue-chip-slump/card/big-tech-etf-drops-sharply-deepening-its-losses-this-week-Ups4ljNH7tHPw2sgsoIK?mod=mw_quote_news,2025-11-12 19:36:46.518501,neutral,-0.062,0.425
MarketWatch,"Top Funds Gobble Up These 4 Stocks — And Nibble On Nvidia, Palantir","Top Funds Gobble Up These 4 Stocks — And Nibble On Nvidia, Palantir",https://www.investors.com/etfs-and-funds/mutual-funds/best-mutual-funds-gobble-up-4-stocks-nibble-on-nvidia-palantir-apple-google/?src=A00619&refcode=aflMarketWatch&mod=mw_quote_news,2025-11-12 19:36:46.517630,positive,0.5,0.5
MarketWatch,Apple’s iPhone Air Is a Marketing Win and a Sales Flop,Apple’s iPhone Air Is a Marketing Win and a Sales Flop,https://www.wsj.com/tech/apple-iphone-air-sales-response-7f0c01f1?mod=mw_quote_news,2025-11-12 19:36:46.517443,positive,0.8,0.4
MarketWatch,"Dow's 275-point rally led by gains for shares of NVIDIA Corp., Amazon.com Inc.","Dow's 275-point rally led by gains for shares of NVIDIA Corp., Amazon.com Inc.",https://www.marketwatch.com/data-news/dow-s-275-point-rally-led-by-gains-for-shares-of-nvidia-corp-amazon-com-inc-952fea7f-de8693ed6094?mod=mw_quote_news,2025-11-12 19:36:46.517250,neutral,0.0,0.0
MarketWatch,"Dow rallies 125 points on gains for shares of Nike, Merck","Dow rallies 125 points on gains for shares of Nike, Merck",https://www.marketwatch.com/data-news/dow-rallies-125-points-on-gains-for-shares-of-nike-merck-81f1a63a-acb8666a751d?mod=mw_quote_news,2025-11-12 19:36:46.516226,neutral,0.0,0.0
Finviz,"Investors view Apple's capital discipline as a strategic advantage, says Plexo Capital's Lo Toney","Investors view Apple's capital discipline as a strategic advantage, says Plexo Capital's Lo Toney",https://www.youtube.com/watch?v=BI2jH_pPn_E,2025-11-12 19:36:45.129269,neutral,0.0,0.0
Yahoo Finance,"If You'd Invested $500 in Nvidia Stock 1 Year Ago, Here's How Much You'd Have Today","If You'd Invested $500 in Nvidia Stock 1 Year Ago, Here's How Much You'd Have Today. Nvidia has continued to beat the market, even after adding trillions to its market cap.",https://www.fool.com/investing/2025/11/12/if-invested-500-in-nvidia-stock-1-year-ago-today/?.tsrc=rss,2025-11-12 14:20:00.000000,positive,0.2,0.2
Yahoo Finance,Quiq Advances Contact Center Quality Management with New Agentic AI Analyst,"Quiq Advances Contact Center Quality Management with New Agentic AI Analyst. Quiq, the leader in enterprise-grade agentic AI for CX innovation, today announced agentic AI powered Quality Management. Aptly named Conversation Analyst, this powerful agentic AI solution analyzes every AI and human agent conversation across voice, web chat, SMS, and other asynchronous messaging platforms, like Apple Messages for Business and WhatsApp. With Conversation Analyst, organizations can establish custom prom",https://finance.yahoo.com/news/quiq-advances-contact-center-quality-133000478.html?.tsrc=rss,2025-11-12 13:30:00.000000,positive,0.135,0.505
Yahoo Finance,"Rezolve Ai’s Acceleration Toward $500 Million ARR Exit Rate for 2026 Attracts Industry Titans from Apple, Google, Microsoft, SAP and Tata Digital","Rezolve Ai’s Acceleration Toward $500 Million ARR Exit Rate for 2026 Attracts Industry Titans from Apple, Google, Microsoft, SAP and Tata Digital. Top global executives are joining Rezolve Ai to lead the trillion-dollar Agentic Commerce transformationNEW YORK , Nov. 12, 2025 (GLOBE NEWSWIRE) -- Rezolve Ai (NASDAQ: RZLV), the AI-commerce company redefining digital engagement through its proprietary brainpowa LLM, has become a destination for some of the most accomplished leaders in global technol",https://finance.yahoo.com/news/rezolve-ai-acceleration-toward-500-130000016.html?.tsrc=rss,2025-11-12 13:00:00.000000,positive,0.119,0.208
Finviz,Nvidia Stock: Apple Partner Signals Huge AI Hardware Demand; Is Nvidia A Buy Now?,Nvidia Stock: Apple Partner Signals Huge AI Hardware Demand; Is Nvidia A Buy Now?,https://finance.yahoo.com/m/525e9736-e5d5-3d61-a0e7-d709bc1ce1a9/nvidia-stock%3A-apple-partner.html,2025-11-12 12:58:00.000000,positive,0.4,0.9
